Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2600,1980,29826,10.590000000000003,0.6700000000000002,0.0,0.11999999999999998,11.379999999999999
2600,1981,190488,33.4,1.9600000000000006,0.0,0.3200000000000001,35.77000000000001
2600,1982,149186,26.920000000000005,1.6500000000000008,0.0,0.31000000000000016,28.859999999999996
2600,1983,49355,5.440000000000001,0.3400000000000001,0.0,0.060000000000000005,5.83
2600,1984,6298,0.26,0.01,0.0,0.0,0.27
2600,1985,4339,0.42,0.03,0.0,0.0,0.45
2600,1986,11042,0.6300000000000001,0.04,0.0,0.0,0.6599999999999999
2600,1987,41765,1.84,0.09,0.0,0.01,1.9800000000000002
2600,1988,10883,0.6900000000000001,0.04,0.0,0.01,0.75
2600,1989,12908,0.5900000000000001,0.03,0.0,0.01,0.62
3DO,1994,14999,0.0,0.0,0.02,0.0,0.02
3DO,1995,28119,0.0,0.0,0.08,0.0,0.08
3DS,2011,974602,26.97999999999999,18.419999999999995,12.800000000000002,4.3799999999999875,62.53
3DS,2012,752277,17.040000000000003,11.58999999999999,19.919999999999998,2.5499999999999963,51.14000000000004
3DS,2013,827985,15.329999999999998,14.339999999999993,23.520000000000007,2.669999999999997,55.88000000000002
3DS,2014,751348,12.03,8.599999999999998,20.640000000000008,1.8400000000000007,43.13000000000004
3DS,2015,868508,5.82,4.769999999999998,15.389999999999986,0.9900000000000003,26.99
3DS,2016,372015,0.8300000000000001,0.5700000000000001,5.0299999999999985,0.12,6.599999999999999
DC,1998,57417,1.26,0.61,1.4300000000000002,0.08,3.39
DC,1999,99699,1.6400000000000001,0.29,3.1699999999999995,0.06,5.169999999999999
DC,2000,181925,2.5300000000000002,0.79,2.5399999999999996,0.13,5.989999999999998
DC,2001,81151,0.0,0.0,1.07,0.0,1.07
DC,2002,6060,0.0,0.0,0.29,0.0,0.29
DC,2007,15902,0.0,0.0,0.02,0.0,0.02
DC,2008,13960,0.0,0.0,0.04,0.0,0.04
DS,1985,15870,0.0,0.0,0.02,0.0,0.02
DS,2004,183110,8.419999999999998,3.9699999999999998,3.649999999999999,1.37,17.459999999999994
DS,2005,1034654,48.47,42.06000000000002,29.860000000000003,10.909999999999982,131.4000000000002
DS,2006,1887445,50.63000000000001,23.530000000000044,38.56000000000001,8.279999999999985,121.14999999999998
DS,2007,3480242,76.35999999999997,34.57999999999997,26.810000000000038,11.269999999999953,149.3600000000002
DS,2008,4788489,79.39999999999995,33.050000000000004,24.010000000000026,11.159999999999934,147.89000000000047
DS,2009,3883247,62.41000000000004,26.520000000000028,24.21000000000004,8.729999999999965,121.99000000000001
