Name,Platform,Year,Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
'98 Koshien,PS,1998,4756,0.15,0.1,0.12,0.03,0.41000000000000003
.hack//G.U. Vol.1//Rebirth,PS2,2006,8359,0.0,0.0,0.17,0.0,0.17
.hack//G.U. Vol.2//Reminisce,PS2,2006,7109,0.11,0.09,0.0,0.03,0.23
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,8604,0.0,0.0,0.16,0.0,0.16
.hack//G.U. Vol.3//Redemption,PS2,2007,8306,0.0,0.0,0.17,0.0,0.17
.hack//Infection Part 1,PS2,2002,1565,0.49,0.38,0.26,0.13,1.27
.hack//Link,PSP,2010,9076,0.0,0.0,0.14,0.0,0.14
.hack//Mutation Part 2,PS2,2002,3004,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,PS2,2002,4296,0.14,0.11,0.17,0.04,0.46
.hack//Quarantine Part 4: The Final Chapter,PS2,2003,8009,0.09,0.07,0.0,0.02,0.18
.hack: Sekai no Mukou ni + Versus,PS3,2012,14279,0.0,0.0,0.03,0.0,0.03
007 Racing,PS,2000,3770,0.30000000000000004,0.2,0.0,0.03,0.53
007: Quantum of Solace,DS,2008,9320,0.11,0.01,0.0,0.01,0.14
007: Quantum of Solace,PC,2008,14550,0.01,0.01,0.0,0.0,0.03
007: Quantum of Solace,PS2,2008,4501,0.17,0.0,0.0,0.26,0.43
007: Quantum of Solace,PS3,2008,1741,0.43,0.52,0.02,0.2,1.16
007: Quantum of Solace,Wii,2008,3040,0.30000000000000004,0.29,0.01,0.07,0.67
007: Quantum of Solace,X360,2008,1275,0.8200000000000001,0.52,0.01,0.14,1.49
007: The World is not Enough,N64,2000,1202,1.13,0.38,0.02,0.03,1.55
007: The World is not Enough,PS,2000,2249,0.51,0.35000000000000003,0.0,0.06,0.92
007: Tomorrow Never Dies,PS,1999,421,1.72,1.33,0.0,0.16,3.21
1 vs. 100,DS,2008,11233,0.08,0.0,0.0,0.01,0.09
1/2 Summer +,PSP,2013,16115,0.0,0.0,0.01,0.0,0.01
10 Minute Solution,Wii,2010,11414,0.06,0.01,0.0,0.01,0.08
100 All-Time Favorites,DS,2009,3888,0.35000000000000003,0.12,0.0,0.04,0.51
100 Classic Books,DS,2008,3008,0.13,0.52,0.0,0.02,0.67
100 Classic Games,DS,2011,13892,0.0,0.03,0.0,0.0,0.04
1000 Cooking Recipes from ELLE à table,DS,2010,14635,0.0,0.02,0.0,0.0,0.03
1001 Touch Games,DS,2011,5538,0.12,0.17,0.0,0.04,0.33
101-in-1 Explosive Megamix,DS,2008,7712,0.05,0.13,0.0,0.02,0.2
101-in-1 Party Megamix Wii,Wii,2009,7115,0.19,0.01,0.0,0.02,0.23
101-in-1 Sports Megamix,DS,2010,11310,0.08,0.0,0.0,0.01,0.08
101-in-1 Sports Party Megamix,Wii,2010,14623,0.02,0.0,0.0,0.0,0.03
1080°: TenEighty Snowboarding,N64,1998,839,1.25,0.61,0.13,0.05,2.03
11eyes: CrossOver,PSP,2010,15555,0.0,0.0,0.02,0.0,0.02
11eyes: CrossOver,X360,2009,15008,0.0,0.0,0.02,0.0,0.02
12-Sai. Honto no Kimochi,3DS,2014,12237,0.0,0.0,0.07,0.0,0.07
12-Sai. Koisuru Diary,3DS,2016,14007,0.0,0.0,0.04,0.0,0.04
12Riven: The Psi-Climinal of Integral,PS2,2008,13692,0.0,0.0,0.04,0.0,0.04
15 Days,PC,2009,16543,0.0,0.01,0.0,0.0,0.01
1701 A.D.,PC,2006,5843,0.0,0.25,0.0,0.05,0.30000000000000004
18 Wheeler: American Pro Trucker,GC,2002,10077,0.09,0.02,0.0,0.0,0.11
18 Wheeler: American Pro Trucker,PS2,2001,4832,0.2,0.15,0.0,0.05,0.4
18 Wheels of Steel: Extreme Trucker,PC,2009,15155,0.0,0.02,0.0,0.0,0.02
18 Wheels of Steel: Extreme Trucker 2,PC,2011,10160,0.08,0.02,0.0,0.01,0.11
187: Ride or Die,PS2,2005,8896,0.07,0.06,0.0,0.02,0.15
187: Ride or Die,XB,2005,12255,0.05,0.01,0.0,0.0,0.06
1942,NES,1985,2061,0.65,0.14,0.21,0.0,1.0
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005,9833,0.09,0.03,0.0,0.0,0.12
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,1000,1.26,0.47000000000000003,0.0,0.03,1.76
2 Games in 1: Disney Princess & The Lion King,GBA,2004,1015,1.25,0.46,0.0,0.03,1.75
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,5750,0.22,0.08,0.0,0.01,0.31
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,946,1.31,0.49,0.0,0.03,1.83
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,3294,0.44,0.16,0.0,0.01,0.61
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005,12403,0.04,0.02,0.0,0.0,0.06
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,4313,0.33,0.12,0.0,0.01,0.45
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,9973,0.09,0.01,0.0,0.01,0.12
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004,3772,0.4,0.11,0.0,0.02,0.53
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,11057,0.06,0.02,0.0,0.0,0.09
2002 FIFA World Cup,GC,2002,13267,0.04,0.01,0.0,0.0,0.05
2002 FIFA World Cup,PS2,2002,3407,0.21,0.17,0.16,0.06,0.59
2002 FIFA World Cup,XB,2002,7849,0.14,0.04,0.0,0.01,0.19
2010 FIFA World Cup South Africa,PS3,2010,1614,0.30000000000000004,0.64,0.07,0.22,1.23
2010 FIFA World Cup South Africa,PSP,2010,4113,0.09,0.24,0.03,0.12,0.48
2010 FIFA World Cup South Africa,Wii,2010,4525,0.23,0.15,0.01,0.04,0.43
2010 FIFA World Cup South Africa,X360,2010,2426,0.32,0.43,0.02,0.09,0.86
2014 FIFA World Cup Brazil,PS3,2014,2903,0.15,0.39,0.01,0.16,0.71
2014 FIFA World Cup Brazil,X360,2014,4170,0.14,0.28,0.0,0.04,0.47000000000000003
24: The Game,PS2,2006,5861,0.15,0.12,0.0,0.04,0.30000000000000004
25 to Life,PS2,2006,4578,0.35000000000000003,0.01,0.0,0.06,0.42
25 to Life,XB,2006,8431,0.12,0.04,0.0,0.01,0.17
2Xtreme,PS,1996,1384,1.15,0.2,0.0,0.05,1.4
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010,11435,0.0,0.07,0.0,0.01,0.08
300: March to Glory,PSP,2007,4712,0.27,0.08,0.0,0.06,0.41000000000000003
3D Baseball,PS,1996,14219,0.02,0.01,0.0,0.0,0.03
3D Dot Game Heroes,PS3,2009,3533,0.36,0.12,0.03,0.07,0.5700000000000001
3D Lemmings,PS,1995,12587,0.03,0.02,0.0,0.0,0.06
3D Tank Warfare Simulator Panzer Front,PS,1999,10597,0.06,0.04,0.0,0.01,0.1
3DS Classic Collection,3DS,2016,14779,0.02,0.0,0.0,0.0,0.03
3Xtreme,PS,1999,2307,0.5,0.34,0.0,0.06,0.9
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,7132,0.0,0.0,0.23,0.0,0.23
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,7916,0.0,0.0,0.19,0.0,0.19
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,8848,0.0,0.0,0.15,0.0,0.15
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,7942,0.0,0.0,0.19,0.0,0.19
4 Elements,PC,2009,12825,0.0,0.04,0.0,0.01,0.05
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005,9852,0.11,0.0,0.0,0.01,0.12
4 Nin uchi Mahjong,NES,1984,1326,0.0,0.0,1.45,0.0,1.45
40 Winks,PS,1999,5804,0.17,0.12,0.0,0.02,0.31
428: Fuusa Sareta Shibuya de,PS3,2009,15145,0.0,0.0,0.02,0.0,0.02
428: Fuusa Sareta Shibuya de,PSP,2009,13561,0.0,0.0,0.04,0.0,0.04
428: Fuusa Sareta Shibuya de,Wii,2008,9610,0.0,0.0,0.13,0.0,0.13
4x4 EVO 2,GC,2002,9238,0.11,0.03,0.0,0.0,0.14
4x4 EVO 2,XB,2001,6903,0.18,0.05,0.0,0.01,0.24
4x4 Evolution,PS2,2001,5681,0.16,0.12,0.0,0.04,0.32
50 Cent: Blood on the Sand,PS3,2009,7802,0.1,0.06,0.01,0.03,0.19
50 Cent: Blood on the Sand,X360,2009,7362,0.12,0.07,0.0,0.02,0.21
50 Cent: Bulletproof,PS2,2005,981,0.85,0.76,0.0,0.16,1.77
50 Cent: Bulletproof,PSP,2006,11195,0.08,0.0,0.0,0.01,0.09
50 Cent: Bulletproof,XB,2005,4438,0.33,0.1,0.0,0.02,0.44
50 Classic Games,3DS,2012,15681,0.0,0.02,0.0,0.0,0.02
50 Classic Games,DS,2009,3647,0.52,0.0,0.0,0.04,0.55
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,7148,0.0,0.0,0.22,0.0,0.22
7 Days to Die,PS4,2016,9880,0.03,0.07,0.0,0.02,0.12
7 Days to Die,XOne,2016,13652,0.02,0.02,0.0,0.0,0.04
7 Roses: A Darkness Rises,PC,2015,15577,0.0,0.02,0.0,0.0,0.02
7 Wonders II,DS,2009,5657,0.14,0.15,0.0,0.03,0.32
7 Wonders of the Ancient World,DS,2007,9544,0.1,0.01,0.0,0.01,0.13
7 Wonders of the Ancient World,PSP,2007,11561,0.07,0.0,0.0,0.01,0.08
7 Wonders: Treasures of Seven,DS,2011,12857,0.02,0.03,0.0,0.01,0.05
7th Dragon,DS,2009,9278,0.0,0.0,0.14,0.0,0.14
7th Dragon 2020,PSP,2011,7583,0.0,0.0,0.2,0.0,0.2
7th Dragon 2020-II,PSP,2013,9619,0.0,0.0,0.13,0.0,0.13
7th Dragon III Code: VFD,3DS,2015,8678,0.03,0.0,0.12,0.0,0.16
99 no Namida,DS,2008,13815,0.0,0.0,0.04,0.0,0.04
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,4543,0.37,0.0,0.03,0.03,0.43
A Boy and His Blob,Wii,2009,7181,0.19,0.02,0.0,0.02,0.22
A Bug's Life,N64,1998,3205,0.49,0.13,0.0,0.01,0.63
A Bug's Life,PS,1998,530,1.96,0.72,0.0,0.11,2.79
A Collection of Activision Classic Games for the Atari 2600,PS,1998,1417,0.76,0.52,0.0,0.09,1.37
A Collection of Classic Games from the Intellivision,PS,1999,5810,0.17,0.12,0.0,0.02,0.31
A Game of Thrones: Genesis,PC,2011,14078,0.0,0.03,0.0,0.01,0.04
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015,14353,0.0,0.0,0.03,0.0,0.03
A New Beginning,PC,2010,12417,0.0,0.05,0.0,0.01,0.06
A Ressha de Gyoukou 2001,PS2,2001,14869,0.0,0.0,0.03,0.0,0.03
A Ressha de Ikou DS,DS,2009,13864,0.0,0.0,0.04,0.0,0.04
A Vampyre Story,PC,2008,15827,0.0,0.01,0.0,0.0,0.02
A Witch's Tale,DS,2009,10002,0.08,0.0,0.03,0.01,0.11
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995,12387,0.0,0.0,0.06,0.0,0.06
A-Train,PS,1995,11531,0.02,0.01,0.04,0.01,0.08
A-Train 6,PS2,2000,12773,0.0,0.0,0.06,0.0,0.06
A-Train: City Simulator,3DS,2014,12407,0.0,0.0,0.06,0.0,0.06
A. IV Evolution: A Ressha de Ikou 4,PS,1994,6643,0.0,0.0,0.24,0.02,0.25
A.C.E.: Another Century's Episode,PS2,2005,6560,0.0,0.0,0.26,0.0,0.26
A.C.E.: Another Century's Episode 2,PS2,2006,8105,0.0,0.0,0.18,0.0,0.18
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,6588,0.0,0.0,0.26,0.0,0.26
A.C.E.: Another Century's Episode Portable,PSP,2011,9905,0.0,0.0,0.12,0.0,0.12
A.C.E.: Another Century's Episode R,PS3,2010,6454,0.0,0.0,0.26,0.0,0.26
ABBA: You Can Dance,Wii,2011,2569,0.19,0.5,0.0,0.11,0.8
AC/DC LIVE: Rock Band Track Pack,PS2,2008,8705,0.08,0.06,0.0,0.02,0.16
AC/DC LIVE: Rock Band Track Pack,PS3,2008,6823,0.21,0.01,0.0,0.02,0.24
AC/DC LIVE: Rock Band Track Pack,Wii,2008,6239,0.25,0.0,0.0,0.02,0.28
AC/DC LIVE: Rock Band Track Pack,X360,2008,7121,0.21,0.0,0.0,0.02,0.23
AIR,PSP,2007,15464,0.0,0.0,0.02,0.0,0.02
AKB1/149: Love Election,PS3,2013,11500,0.0,0.0,0.08,0.0,0.08
AKB1/149: Love Election,PSP,2012,7065,0.0,0.0,0.23,0.0,0.23
AKB1/149: Love Election,PSV,2012,11745,0.0,0.0,0.07,0.0,0.07
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,4827,0.0,0.0,0.4,0.0,0.4
AKB1/48: Idol to Koishitara...,PSP,2010,4754,0.0,0.0,0.41000000000000003,0.0,0.41000000000000003
AKB48+Me,3DS,2012,10244,0.0,0.0,0.11,0.0,0.11
AMF Bowling 2004,XB,2003,5954,0.22,0.06,0.0,0.01,0.30000000000000004
AMF Bowling Pinbusters!,DS,2008,12027,0.06,0.0,0.0,0.0,0.07
AMF Bowling Pinbusters!,Wii,2007,2276,0.85,0.0,0.0,0.07,0.91
AMF Bowling World Lanes,Wii,2008,5215,0.33,0.0,0.0,0.03,0.36
AMF Xtreme Bowling,PS2,2006,14991,0.01,0.01,0.0,0.0,0.02
AMNESIA World,PSV,2014,14795,0.0,0.0,0.03,0.0,0.03
APB Reloaded,PC,2011,13947,0.02,0.01,0.0,0.0,0.04
ASH: Archaic Sealed Heat,DS,2007,9982,0.0,0.0,0.12,0.0,0.12
ATV Offroad Fury,PS2,2001,642,2.07,0.26,0.0,0.08,2.41
ATV Offroad Fury 2,PS2,2002,749,1.92,0.2,0.0,0.06,2.18
ATV Offroad Fury 3,PS2,2004,1670,1.0,0.04,0.0,0.16,1.2
ATV Offroad Fury Pro,PSP,2006,4251,0.37,0.04,0.0,0.05,0.46
ATV Offroad Fury: Blazin' Trails,PSP,2005,3510,0.53,0.0,0.0,0.04,0.5700000000000001
ATV Quad Kings,DS,2010,10184,0.1,0.0,0.0,0.01,0.11
ATV Quad Kings,Wii,2009,7234,0.21,0.0,0.0,0.01,0.22
ATV Quad Power Racing 2,GC,2003,6134,0.22,0.06,0.0,0.01,0.28
ATV Quad Power Racing 2,PS2,2003,2466,0.41000000000000003,0.32,0.0,0.11,0.84
ATV Quad Power Racing 2,XB,2003,4398,0.36,0.07,0.0,0.01,0.45
ATV/Monster Truck Mayhem,DS,2007,5226,0.33,0.0,0.0,0.02,0.36
ATV: Quad Frenzy,DS,2005,10291,0.1,0.0,0.0,0.01,0.11
ATV: Quad Power Racing,GBA,2002,6589,0.18,0.07,0.0,0.0,0.26
ATV: Quad Power Racing,PS,2000,1996,0.58,0.39,0.0,0.07,1.04
Aa Megami-samaa,PS2,2007,16216,0.0,0.0,0.01,0.0,0.01
Abunai: Koi no Sousa Shitsu,PSP,2012,16052,0.0,0.0,0.01,0.0,0.01
Abunai: Koi no Sousa Shitsu,PSV,2015,15752,0.0,0.0,0.02,0.0,0.02
Academy of Champions: Soccer,Wii,2009,9465,0.1,0.02,0.0,0.01,0.13
Accel World: Ginyoku no Kakusei,PS3,2012,14300,0.0,0.0,0.03,0.0,0.03
Accel World: Ginyoku no Kakusei,PSP,2012,14336,0.0,0.0,0.03,0.0,0.03
Accel World: Kasoku no Chouten,PS3,2013,15950,0.0,0.0,0.02,0.0,0.02
