Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,Game Score,Critic Score
007: Quantum of Solace,2008.0,0.22,0.26,0.01,0.095,0.585,67.5,30.0,51.0,7.3100000000000005,7.6,7.025
2010 FIFA World Cup South Africa,2010.0,0.3,0.64,0.07,0.22,1.23,82.0,56.0,57.0,8.06,7.97,8.16
2014 FIFA World Cup Brazil,2014.0,0.15,0.36,0.01,0.09,0.61,73.0,33.0,87.0,7.82,8.44,7.21
50 Cent: Blood on the Sand,2009.0,0.1,0.06,0.01,0.03,0.19,72.0,37.0,57.0,7.05,6.94,7.15
7 Days to Die,2016.0,0.04,0.08,0.0,0.02,0.14,45.0,16.0,140.0,6.65,8.43,4.87
7th Dragon III Code: VFD,2015.0,0.04,0.0,0.12,0.0,0.17,77.0,26.0,38.0,8.37,9.24,7.5
A Vampyre Story,2008.0,0.0,0.01,0.0,0.0,0.02,75.0,33.0,25.0,7.03,6.77,7.3
Ace Combat: Assault Horizon,2011.0,0.3,0.15,0.22,0.07,0.74,77.0,28.0,82.0,7.67,8.04,7.3
Ace Combat: Assault Horizon Legacy,2011.0,0.1,0.06,0.08,0.01,0.24,71.0,37.0,26.0,7.87,8.72,7.03
Aegis of Earth: Protonovus Assault,2016.0,0.02,0.0,0.0,0.0,0.03,57.0,11.0,9.0,7.6,8.79,6.41
Afrika,2008.0,0.12,0.0,0.08,0.01,0.22,63.0,12.0,34.0,7.17,7.74,6.61
Afro Samurai,2009.0,0.12,0.05,0.0,0.03,0.2,65.0,52.0,27.0,6.99,7.34,6.65
Age of Empires III,2005.0,0.0,0.33,0.0,0.05,0.38,81.0,52.0,519.0,8.4,8.84,7.97
Age of Mythology,2002.0,0.02,0.06,0.0,0.01,0.09,89.0,31.0,484.0,7.93,7.82,8.04
Alan Wake,2012.0,0.0,0.06,0.0,0.01,0.06,83.0,30.0,1473.0,8.59,8.92,8.26
