Name,Platform,Play Score,Game Score,Critic Score
Grand Theft Auto V,Xbox 360,9.64,9.97,9.30
Naruto Shippuden: Ultimate Ninja Storm 3,Xbox 360,8.68,9.91,7.45
A Short Hike,PC,8.98,9.84,8.13
Final Fantasy VII,PS4,8.87,9.84,7.89
The Room Two,Android,9.23,9.80,8.67
The Room Three,Android,9.24,9.80,8.69
RimWorld,PC,9.05,9.80,8.29
Half-Life: Alyx,PC,9.49,9.79,9.18
The Witcher 3: Wild Hunt,PC,9.40,9.79,9.01
The Binding of Isaac: Rebirth,PC,9.11,9.79,8.43
Zlatan Legends,iOS,8.39,9.79,6.98
Katana ZERO,PC,8.99,9.79,8.20
OneShot,PC,8.74,9.79,7.69
DUSK,PC,9.18,9.78,8.58
A Hat in Time,PC,8.92,9.78,8.06
Baba Is You,PC,9.04,9.78,8.31
Football Manager 2019 Mobile,iOS,8.80,9.77,7.83
Minecraft: Wii U Edition,Wii U,8.60,9.77,7.43
Kind Words (lo fi chill beats to write to),PC,8.95,9.77,8.13
Portal 2,PC,9.50,9.77,9.23
Mario Kart 7,3DS,9.09,9.77,8.41
The Legend of Zelda: The Wind Waker HD,Wii U,9.32,9.76,8.87
Super Mario 3D World,Wii U,9.46,9.76,9.15
Super Mario 3D Land,3DS,9.22,9.76,8.67
The Legend of Zelda: Ocarina of Time 3D,3DS,9.51,9.76,9.25
Mario Kart 8,Wii U,9.21,9.76,8.67
Shovel Knight,Wii U,9.21,9.75,8.67
Super Smash Bros. for Wii U,Wii U,9.47,9.75,9.19
Keep Talking and Nobody Explodes,PC,8.66,9.75,7.56
The Legend of Zelda: Breath of the Wild,Wii U,9.47,9.75,9.19
Splatoon,Wii U,8.88,9.74,8.02
Bayonetta - Digital Version,Wii U,9.10,9.74,8.47
New Super Mario Bros. 2,3DS,8.62,9.74,7.51
The Binding of Isaac: Rebirth,Wii U,8.70,9.74,7.66
Luigi's Mansion: Dark Moon,3DS,9.05,9.73,8.37
Terraria,3DS,8.48,9.73,7.22
FINAL FANTASY IX,PS4,8.97,9.72,8.22
God of War,PS4,9.55,9.72,9.38
Rayman Legends,Wii U,9.26,9.72,8.81
Life is Strange: Before the Storm,Xbox One,8.62,9.72,7.51
