,Name,Platform,Play Score,Game Score,Critic Score
0,Grand Theft Auto V,Xbox 360,9.64,9.97,9.3
1,Naruto Shippuden: Ultimate Ninja Storm 3,Xbox 360,8.68,9.91,7.45
2,A Short Hike,PC,8.98,9.84,8.13
3,Final Fantasy VII,PS4,8.87,9.84,7.89
4,The Room Two,Android,9.23,9.8,8.67
5,The Room Three,Android,9.24,9.8,8.69
6,RimWorld,PC,9.05,9.8,8.29
7,Half-Life: Alyx,PC,9.49,9.79,9.18
8,The Witcher 3: Wild Hunt,PC,9.4,9.79,9.01
9,The Binding of Isaac: Rebirth,PC,9.11,9.79,8.43
10,Zlatan Legends,iOS,8.39,9.79,6.98
11,Katana ZERO,PC,8.99,9.79,8.2
12,OneShot,PC,8.74,9.79,7.69
13,DUSK,PC,9.18,9.78,8.58
14,A Hat in Time,PC,8.92,9.78,8.06
15,Baba Is You,PC,9.04,9.78,8.31
16,Football Manager 2019 Mobile,iOS,8.8,9.77,7.83
17,Minecraft: Wii U Edition,Wii U,8.6,9.77,7.43
18,Kind Words (lo fi chill beats to write to),PC,8.95,9.77,8.13
19,Portal 2,PC,9.5,9.77,9.23
20,Mario Kart 7,3DS,9.09,9.77,8.41
21,The Legend of Zelda: The Wind Waker HD,Wii U,9.32,9.76,8.87
22,Super Mario 3D World,Wii U,9.46,9.76,9.15
23,Super Mario 3D Land,3DS,9.22,9.76,8.67
24,The Legend of Zelda: Ocarina of Time 3D,3DS,9.51,9.76,9.25
25,Mario Kart 8,Wii U,9.21,9.76,8.67
26,Shovel Knight,Wii U,9.21,9.75,8.67
27,Super Smash Bros. for Wii U,Wii U,9.47,9.75,9.19
28,Keep Talking and Nobody Explodes,PC,8.66,9.75,7.56
29,The Legend of Zelda: Breath of the Wild,Wii U,9.47,9.75,9.19
30,Splatoon,Wii U,8.88,9.74,8.02
31,Bayonetta - Digital Version,Wii U,9.1,9.74,8.47
32,New Super Mario Bros. 2,3DS,8.62,9.74,7.51
33,The Binding of Isaac: Rebirth,Wii U,8.7,9.74,7.66
34,Luigi's Mansion: Dark Moon,3DS,9.05,9.73,8.37
35,Terraria,3DS,8.48,9.73,7.22
36,FINAL FANTASY IX,PS4,8.97,9.72,8.22
37,God of War,PS4,9.55,9.72,9.38
38,Rayman Legends,Wii U,9.26,9.72,8.81
39,Life is Strange: Before the Storm,Xbox One,8.62,9.72,7.51
40,Kid Icarus: Uprising,3DS,8.98,9.72,8.24
41,Okami HD,PS3,9.2,9.72,8.69
42,Ghost of Tsushima,PS4,9.11,9.72,8.51
43,Portal,PC,8.9,9.71,8.09
44,Persona 5 Royal,PS4,9.57,9.71,9.43
45,Bravely Default: Flying Fairy,3DS,9.14,9.71,8.57
46,Post Void,PC,8.34,9.71,6.98
47,The Legend of Zelda: Majora's Mask 3D,3DS,9.38,9.7,9.05
48,3D Sonic The Hedgehog 2,3DS,9.01,9.7,8.32
49,Terraria,Wii U,8.56,9.7,7.41
50,The Legend of Zelda: A Link Between Worlds,3DS,9.3,9.7,8.9
51,The Legend of Zelda: Twilight Princess HD,Wii U,9.08,9.7,8.46
52,Shovel Knight,3DS,9.16,9.7,8.62
53,CLANNAD,PC,8.76,9.7,7.83
54,Euro Truck Simulator 2,PC,8.75,9.69,7.82
55,Slay the Spire,PC,9.13,9.69,8.57
56,Stardew Valley,PC,9.24,9.69,8.78
57,Hypnospace Outlaw,PC,8.75,9.69,7.8
58,The Binding of Isaac: Rebirth,3DS,8.6,9.69,7.5
59,Terraria,PC,8.88,9.69,8.06
60,Slime Rancher,PC,8.88,9.69,8.08
61,Resident Evil 2,PC,9.21,9.69,8.73
62,Metal Gear Solid: Snake Eater 3D,3DS,8.7,9.69,7.71
63,Monolith,PC,8.75,9.69,7.82
64,Bug Fables: The Everlasting Sapling,PC,8.82,9.69,7.96
65,Shantae and the Pirate's Curse,Wii U,8.85,9.69,8.01
66,Resident Evil HD Remaster,PS3,8.84,9.69,7.99
67,BattleBlock Theater,PC,8.95,9.69,8.21
68,Resident Evil: Revelations,3DS,8.83,9.69,7.97
69,Just Shapes & Beats,PC,8.82,9.68,7.96
70,Celeste,PC,9.19,9.68,8.7
71,Touhou Luna Nights,PC,8.53,9.68,7.38
72,NEKOPARA Vol. 3,PC,8.11,9.68,6.54
73,Mount & Blade: Warband,PC,8.64,9.68,7.6
74,VA-11 Hall-A: Cyberpunk Bartender Action,PC,8.74,9.68,7.8
75,Kirby: Triple Deluxe,3DS,8.84,9.68,8.0
76,Animal Crossing: New Leaf,3DS,9.12,9.68,8.57
77,Left 4 Dead 2,PC,9.14,9.68,8.6
78,NEKOPARA Vol. 2,PC,8.07,9.68,6.46
79,Rabi-Ribi,PC,8.61,9.68,7.54
80,Finding Paradise,PC,8.72,9.67,7.76
81,The Coma 2: Vicious Sisters,PC,8.42,9.67,7.16
82,Broforce,PC,8.87,9.67,8.07
83,The Room: Old Sins,iOS,9.11,9.67,8.55
84,Pokemon Y,3DS,9.13,9.67,8.58
85,The Room Three,iOS,9.27,9.67,8.87
86,Hidden Folks,PC,8.54,9.67,7.42
87,Poochy & Yoshi's Woolly World,3DS,8.71,9.67,7.76
88,Fire Emblem Awakening,3DS,9.26,9.67,8.86
89,Bayonetta 2,Wii U,9.36,9.66,9.06
90,Kingdom Hearts 3D: Dream Drop Distance,3DS,8.69,9.66,7.71
91,Day of the Tentacle Remastered,PC,9.17,9.66,8.69
92,Super Hexagon,PC,8.95,9.66,8.25
93,Gorogoa,PC,8.89,9.65,8.12
94,Lair of the Clockwork God,PC,8.89,9.65,8.13
95,Persona 5,PS4,9.46,9.65,9.27
96,Rakuen,PC,8.81,9.65,7.97
97,Timelie,PC,8.45,9.65,7.26
98,West of Loathing,PC,8.9,9.65,8.14
99,SteamWorld Heist,3DS,8.96,9.65,8.27
100,Gunpoint,PC,9.1,9.64,8.55
101,Half-Life 2,PC,9.08,9.64,8.52
102,Opus Magnum,PC,8.93,9.64,8.23
103,Kirby: Planet Robobot,3DS,8.86,9.64,8.09
104,Hotline Miami,PC,9.06,9.64,8.47
105,Final Fantasy VIII Remastered,PS4,8.75,9.64,7.86
106,Raging Loop,PC,8.54,9.64,7.45
107,The Witcher 3: Wild Hunt,PS4,9.29,9.63,8.95
108,Mario Kart 8 Deluxe,Switch,9.34,9.63,9.04
109,Summoner's Greed - Idle TD,iOS,8.43,9.63,7.23
110,Resident Evil 4 HD,PS3,8.9,9.63,8.17
111,DJMax Respect,PS4,8.98,9.63,8.34
112,Monster Hunter 3 Ultimate,3DS,8.67,9.62,7.71
113,BTS WORLD,iOS,8.8,9.62,7.98
114,Shantae and the Pirate's Curse,3DS,8.81,9.62,8.01
115,South Park: The Stick of Truth,PC,9.01,9.62,8.41
116,Pokemon X,3DS,9.09,9.62,8.56
117,3D Streets of Rage 2,3DS,9.09,9.62,8.57
118,Muse Dash,iOS,8.64,9.61,7.67
119,Skullgirls 2nd Encore,PS4,8.85,9.61,8.09
120,Resident Evil 2,PS4,9.29,9.61,8.97
121,Hollow Knight Voidheart Edition,PS4,8.84,9.61,8.07
122,Rhythm Heaven Megamix,3DS,8.83,9.61,8.05
123,Beat Saber,PC,8.42,9.61,7.23
124,Professor Layton and the Miracle Mask,3DS,8.87,9.61,8.14
125,The Pedestrian,PC,8.71,9.61,7.82
126,Pokemon Alpha Sapphire,3DS,8.91,9.61,8.22
127,Journey,PS3,9.36,9.61,9.11
128,Pokemon Omega Ruby,3DS,8.93,9.6,8.26
129,BTS WORLD,Android,8.77,9.6,7.93
130,DATA WING,Android,8.83,9.6,8.06
131,Bloons TD 6,Android,8.63,9.6,7.66
132,The Room,Android,9.01,9.6,8.42
133,Kingdom Rush Frontiers,Android,8.81,9.6,8.02
134,Blendoku 2,Android,8.95,9.6,8.31
135,Resident Evil 4,PS4,8.76,9.6,7.93
136,PewDiePie: Legend of the Brofist,Android,8.12,9.6,6.63
137,Stardew Valley,Android,8.93,9.6,8.26
138,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,Switch,9.26,9.6,8.91
139,Able Black,iOS,8.47,9.6,7.33
140,Risk of Rain 2,PC,8.98,9.6,8.37
141,Stardew Valley,PS4,8.92,9.6,8.24
142,Deep Rock Galactic,PC,8.93,9.6,8.26
143,Oxygen Not Included,PC,8.83,9.6,8.06
144,Pokémon Sword,Switch,8.81,9.6,8.03
145,Pokémon Shield,Switch,8.82,9.6,8.04
146,Persona 4 Golden,PC,9.01,9.6,8.43
147,Forza Motorsport 7,Xbox One,9.06,9.6,8.52
148,Tap Titans,Android,8.14,9.6,6.68
149,Defense Grid: The Awakening,PC,8.46,9.6,7.33
150,Rusty Lake: Roots,Android,8.8,9.6,8.01
151,Super Hexagon,Android,9.02,9.59,8.44
152,Through the Ages,Android,8.94,9.59,8.28
153,Dishonored,PC,9.2,9.59,8.81
154,PewDiePie's Tuber Simulator,iOS,8.44,9.59,7.29
155,Doki Doki Literature Club!,PC,8.76,9.59,7.92
156,Kingdom Rush Origins,Android,8.95,9.59,8.3
157,Unheard,PC,8.26,9.59,6.93
158,The House of Da Vinci 2,Android,8.69,9.59,7.78
159,Axiom Verge,Wii U,8.79,9.59,8.0
160,Hollow Knight,PC,9.07,9.59,8.56
161,Beholder,Android,8.76,9.59,7.93
162,Dead Cells,PC,9.15,9.59,8.71
163,Forza Horizon 4,PC,9.15,9.59,8.71
164,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,8.81,9.59,8.02
165,Duck Game,PC,8.75,9.59,7.91
166,GRIS,PC,9.0,9.59,8.42
167,Monster Train,PC,8.87,9.59,8.15
168,Ori and the Blind Forest: Definitive Edition,PC,8.95,9.59,8.32
169,Xenoblade Chronicles 3D,3DS,9.07,9.59,8.55
170,Streets of Rogue,PC,8.56,9.59,7.53
171,Monster Hunter 4 Ultimate,3DS,9.07,9.59,8.56
172,The Last Of Us Remastered,PS4,9.41,9.59,9.23
173,Part Time UFO,Android,8.91,9.59,8.23
174,Supraland,PC,8.83,9.58,8.08
175,Game Dev Tycoon,iOS,9.0,9.58,8.42
176,Beat Saber,PS4,8.96,9.58,8.34
177,NEKOPARA Vol. 1,PC,8.2,9.58,6.82
178,Linelight,PC,8.69,9.58,7.79
179,My Friend Pedro,PC,8.62,9.58,7.65
180,Templar Battleforce RPG,Android,8.98,9.58,8.39
181,OKAMI HD,PS4,9.07,9.58,8.57
182,Rune Factory 4,3DS,8.73,9.58,7.88
183,Monument Valley,Android,9.11,9.58,8.65
184,Uncharted 4: A Thief's End,PS4,9.43,9.58,9.28
185,Persona 5,PS3,9.27,9.58,8.97
186,The Room Two,iOS,9.04,9.58,8.51
187,Return of the Obra Dinn,PC,9.2,9.57,8.82
188,Detention,PC,8.89,9.57,8.2
189,Ring Fit Adventure,Switch,8.81,9.57,8.04
190,Don't Starve,PC,8.66,9.57,7.74
191,see/saw,iOS,8.83,9.57,8.08
192,Primordia,PC,8.72,9.57,7.88
193,Danganronpa 2: Goodbye Despair,PC,8.37,9.57,7.18
194,Crypt of the NecroDancer,PC,9.05,9.57,8.52
195,Nuclear Throne,PC,9.05,9.57,8.53
196,YO-KAI WATCH 2: Bony Spirits,3DS,8.37,9.57,7.18
197,Shovel Knight,PS4,9.09,9.57,8.62
198,killer7,PC,8.46,9.57,7.36
199,Yakuza 5 Remaster,PS4,8.7,9.57,7.83
200,Undertale,PC,9.35,9.57,9.13
201,Part Time UFO,iOS,9.02,9.57,8.47
202,Forza Horizon 4,Xbox One,9.25,9.57,8.94
203,Pokemon Moon,3DS,9.11,9.56,8.65
204,The Walking Dead: A New Frontier,PS4,8.39,9.56,7.21
205,Cuphead,PC,9.09,9.56,8.62
206,The Elder Scrolls V: Skyrim Special Edition,PS4,8.77,9.56,7.98
