Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
007: Quantum of Solace,2008,0.22,0.26,0.01,0.095,0.585,67.5,30,51,7.31,7.6,7.025
2010 FIFA World Cup South Africa,2010,0.3,0.64,0.07,0.22,1.23,82,56,57,8.06,7.97,8.16
2014 FIFA World Cup Brazil,2014,0.15,0.36,0.01,0.09,0.61,73,33,87,7.82,8.44,7.21
50 Cent: Blood on the Sand,2009,0.1,0.06,0.01,0.03,0.19,72,37,57,7.05,6.94,7.15
7 Days to Die,2016,0.04,0.08,0,0.02,0.14,45,16,140,6.65,8.43,4.87
7th Dragon III Code: VFD,2015,0.04,0,0.12,0,0.17,77,26,38,8.37,9.24,7.5
A Vampyre Story,2008,0,0.01,0,0,0.02,75,33,25,7.03,6.77,7.3
Ace Combat: Assault Horizon,2011,0.3,0.15,0.22,0.07,0.74,77,28,82,7.67,8.04,7.3
Ace Combat: Assault Horizon Legacy,2011,0.1,0.06,0.08,0.01,0.24,71,37,26,7.87,8.72,7.03
Aegis of Earth: Protonovus Assault,2016,0.02,0,0,0,0.03,57,11,9,7.6,8.79,6.41
Afrika,2008,0.12,0,0.08,0.01,0.22,63,12,34,7.17,7.74,6.61
Afro Samurai,2009,0.12,0.05,0,0.03,0.2,65,52,27,6.99,7.34,6.65
Age of Empires III,2005,0,0.33,0,0.05,0.38,81,52,519,8.4,8.84,7.97
Age of Mythology,2002,0.02,0.06,0,0.01,0.09,89,31,484,7.93,7.82,8.04
Alan Wake,2012,0,0.06,0,0.01,0.06,83,30,1473,8.59,8.92,8.26
Alice: Madness Returns,2011,0.11,0.17,0.02,0.05,0.35,72.5,40,370,7.985,8.75,7.225
Alien: Isolation,2014,0.17,0.355,0.02,0.09,0.635,80,45.5,1191.5,8.51,9.095,7.92
Alone in the Dark,2008,0,0.01,0,0,0.01,55,19,148,6.02,5.66,6.38
Alone in the Dark: Inferno,2008,0.09,0.03,0,0.02,0.13,69,25,50,6.71,6.66,6.76
Alpha Protocol,2010,0.095,0.1,0,0.04,0.23,68,37,314,7.22,7.535,6.9
Anarchy Reigns,2012,0.1,0.03,0.06,0.02,0.2,71,35,106,7.63,8.22,7.03
Angry Birds Star Wars,2013,0.1,0.11,0,0.045,0.25,48,5.5,55,7.14,8.125,6.15
Animal Crossing: Happy Home Designer,2015,0.51,1.02,1.4,0.12,3.05,66,60,106,7.71,8.75,6.68
Animal Crossing: New Leaf,2012,2.03,2.36,4.39,0.39,9.16,88,70,626,9.12,9.68,8.57
Anno 2070,2011,0,1.13,0,0.29,1.43,83,33,493,7.04,5.99,8.09
Aquapazza: Aquaplus Dream Match,2012,0.05,0,0.05,0.01,0.11,75,13,20,8.07,8.52,7.61
Ar Nosurge: Ode to an Unborn Star,2014,0.05,0.03,0.06,0.02,0.16,67,23,49,7.58,8.37,6.78
Ar tonelico Qoga: Knell of Ar Ciel,2010,0.08,0.01,0.13,0.01,0.24,61,27,101,7.26,7.53,6.98
Arcana Heart 3,2011,0.04,0.04,0.1,0.02,0.2,73,10,27,8.28,9.3,7.25
Armored Core 4,2006,0.09,0,0.09,0.01,0.2,65,36,25,7.11,7.2,7.02
Armored Core V,2012,0.09,0.04,0.24,0.02,0.39,65,26,47,6.87,7.08,6.66
Armored Core: Verdict Day,2013,0,0,0.12,0,0.12,66,18,28,7.78,8.66,6.89
Army of Two,2008,0.74,0.26,0.02,0.15,1.17,74,43,118,7.16,7.36,6.95
Army of Two: The 40th Day,2010,0.44,0.27,0.01,0.12,0.85,74,56,88,7.52,7.81,7.24
Army of Two: The Devil's Cartel,2013,0.11,0.11,0.01,0.05,0.28,58,27,100,7.45,8.96,5.95
Arslan: The Warriors of Legend,2015,0.03,0.01,0.04,0.01,0.09,69,43,23,7.65,8.47,6.83
Asphalt 3D,2011,0.27,0.16,0.02,0.04,0.49,43,37,24,6.9,8.77,5.03
Assassin's Creed,2007,1.91,2,0.09,0.82,4.82,81,40,769,8.24,8.47,8.01
Assassin's Creed Chronicles: China,2015,0,0.03,0,0.01,0.04,69,44,83,7.62,8.59,6.66
Assassin's Creed II,2009.5,1.275,1.19,0.105,0.475,3.05,88.5,46,1406.5,8.635,8.8,8.46
Assassin's Creed III,2012,1.46,1.525,0.08,0.62,3.69,82.5,31,1398,8.2,8.135,8.27
Assassin's Creed IV: Black Flag,2013,0.873333333,1.123333333,0.063333333,0.346666667,2.4,85,25,1280,8.64,8.88,8.4
Assassin's Creed Syndicate,2015,0.46,1.04,0.035,0.27,1.8,75,50,931.5,8.07,8.305,7.83
Assassin's Creed: Brotherhood,2010.5,1.01,0.445,0.055,0.195,1.705,89,41.5,946.5,8.735,8.84,8.625
Assassin's Creed: Revelations,2011,0.775,1.245,0.05,0.41,2.48,80,29.5,692,8.265,8.475,8.05
Assetto Corsa,2016,0,0.05,0,0.01,0.06,73,35,70,7.44,7.58,7.31
Asura's Wrath,2012,0.18,0.12,0.06,0.05,0.4,71,39,169,7.51,7.81,7.21
Atelier Ayesha: The Alchemist of Dusk,2012,0.06,0.04,0.14,0.02,0.26,70,17,120,7.63,8.36,6.89
Atelier Shallie: Alchemists of the Dusk Sea,2014,0.06,0.02,0.08,0.02,0.18,76,26,44,7.8,8.3,7.29
Attack on Titan: Humanity in Chains,2013,0,0,0.42,0,0.42,46,22,34,6.99,8.67,5.31
Band Hero,2009,0.41,0.23,0,0.11,0.74,76,45,9,7.23,7.15,7.32
Batman: Arkham Asylum,2009,1.12,0.795,0.035,0.33,2.275,91,49.5,1429,8.94,9.27,8.61
Batman: Arkham City,2011,1.435,1.065,0.055,0.45,3.005,93.5,34.5,2004.5,9.125,9.34,8.91
Batman: Arkham Knight,2015,0.81,0.86,0.05,0.325,2.04,78.5,51.5,2323,8.42,8.785,8.055
Batman: Arkham Origins,2013,0.6,0.48,0.02,0.2,1.3,75,31.5,919,8,8.65,7.355
Batman: Arkham Origins Blackgate,2013,0.16,0.09,0,0.02,0.27,68,7,38,7.82,8.75,6.9
Batman: Arkham VR,2016,0.25,0,0,0.06,0.3,75,59,89,7.82,8.39,7.24
Battle Princess of Arcadias,2013,0,0,0.02,0,0.02,69,22,25,8.18,8.97,7.38
BattleForge,2009,0,0.01,0,0,0.01,75,37,112,7.38,7.36,7.4
Battleborn,2016,0.08,0.06,0.01,0.025,0.17,68.5,44.5,401,7.305,7.435,7.175
Battlefield 1,2016,0.605,1.195,0.105,0.32,2.23,88,42.5,973,8.195,7.8,8.585
Battlefield 1942,2002,0.01,0.01,0,0,0.03,89,27,327,7.84,7.58,8.09
Battlefield 2,2005,0,0.07,0,0.01,0.08,91,55,837,8.23,8.02,8.44
Battlefield 2142,2006,0,0.02,0,0,0.03,80,48,326,7.76,7.8,7.72
Battlefield 3,2011,1.87,2.16,0.175,0.77,4.975,87,49.5,3343.5,8.505,8.63,8.375
